datetime,open,high,low,close,volume
2020-09-14 10:43:00,395.71951,395.71951,395.62000,395.62000,797
2020-09-14 10:44:00,395.49500,395.73001,395.49500,395.73001,1933
2020-09-14 10:45:00,395.73001,395.92001,395.73001,395.92001,4044
2020-09-14 10:46:00,395.93530,395.93530,395.90530,395.90530,2735
2020-09-14 10:47:00,395.98499,396.33499,395.98499,396.20999,5179
2020-09-14 10:48:00,396.20999,396.20999,396.07999,396.07999,1419
2020-09-14 10:49:00,396.22089,396.62881,396.22089,396.62000,4463
2020-09-14 10:50:00,396.60001,396.60001,396.60001,396.60001,1618
2020-09-14 10:51:00,395.91000,396.03000,395.91000,396.03000,1144
2020-09-14 10:52:00,396.34000,396.45999,396.17001,396.17001,2030
2020-09-14 10:53:00,396.04001,396.04001,395.63000,395.63000,1006
2020-09-14 10:54:00,395.63800,395.63800,395.32001,395.32001,949
2020-09-14 10:55:00,395.19000,395.19000,395.14001,395.14001,2085
2020-09-14 10:56:00,395.10999,395.10999,395.05499,395.05499,1878
2020-09-14 10:57:00,394.92001,394.92001,394.92001,394.92001,262
2020-09-14 10:58:00,394.60001,394.79001,394.46271,394.46271,4809
2020-09-14 10:59:00,394.46210,394.52499,394.46210,394.52499,2137
2020-09-14 11:00:00,394.31000,394.42001,394.10999,394.10999,6939
2020-09-14 11:01:00,394.17001,394.63501,394.13000,394.63501,4372
2020-09-14 11:02:00,394.66000,394.66000,394.05499,394.05499,3593
2020-09-14 11:03:00,394.12711,394.14001,394.12711,394.14001,1192
2020-09-14 11:04:00,394.31000,394.31000,394.13000,394.26001,1434
2020-09-14 11:05:00,394.43750,394.43750,394.22000,394.22000,1489
2020-09-14 11:06:00,394.12000,394.12000,393.37000,393.51001,2615
2020-09-14 11:07:00,393.29950,393.29950,393.25000,393.25000,535
2020-09-14 11:08:00,393.16000,393.16000,392.63000,392.99820,3145
2020-09-14 11:09:00,393.03500,393.48001,393.03500,393.34500,2607
2020-09-14 11:10:00,393.59000,393.59000,393.32001,393.37500,1706
2020-09-14 11:11:00,392.97260,393.04999,392.97260,393.00000,1536
2020-09-14 11:12:00,393.25000,393.48999,393.15500,393.48999,1239
2020-09-14 11:13:00,393.42001,393.80499,393.42001,393.62000,1662
2020-09-14 11:14:00,393.10001,393.35999,393.10001,393.35999,1281
2020-09-14 11:15:00,393.67999,393.72501,393.67999,393.72501,2282
2020-09-14 11:17:00,393.77499,394.00000,393.58340,393.58340,3214
